subject,size,hashtag,RL,total_fix_dur_avr,total_fix_count_avr,account_fix_dur_avr,account_fix_count_avr,logo_fix_dur_avr,logo_fix_count_avr,pic_fix_dur_avr,pic_fix_count_avr,text_fix_dur_avr,text_fix_count_avr,sac_amp_avr,total_fix_dur,total_fix_count,account_fix_dur,account_fix_count,logo_fix_dur,logo _fix_count,pic_fix_dur,pic_fix_count,text_fix_dur,text_fix_count,trial count,ad_recog,brand,purch_intent,eWOM,purchase
8,small,yes,l,8.27,35.67,0.07,0.33,0.00,0.00,2.45,10.33,31,17237,4.09,5745.67,25.00,24800.95,107,200,1,0,0,7364,75,3.00,5.33,3.67,4.08,3.44,3.33
8,small,yes,r,8.58,35.33,0.00,0.00,0.14,0.67,2.36,8.00,24,18218,3.26,6072.67,26.67,25742.24,106,0,0,430,2,7094,80,3.00,5,3.00,3.58,2.78,4.00
8,large,no,l,12.61,58.00,0.00,0.00,0.00,0.00,3.39,14.00,28,11768,3.90,5884.00,28.50,25219.08,116,0,0,0,0,6781,57,2.00,6.5,4.50,4.50,3.50,5.00
8,large,no,r,8.54,35.67,0.00,0.00,0.00,0.00,2.70,9.33,28,17195,3.65,5731.67,25.67,25609.89,107,0,0,0,0,8087,77,3.00,4.67,3.67,3.00,2.22,4.00
8,large,yes,l,8.89,36.00,0.00,0.00,0.17,1.00,1.54,5.67,17,21541,2.64,7180.33,29.33,26661.06,108,0,0,501,3,4619,88,3.00,2.67,6.00,6.58,5.56,6.67
8,large,yes,r,8.40,32.00,0.06,0.50,0.57,3.00,2.13,7.00,14,11260,3.67,5630.00,22.50,16792.14,64,124,1,1139,6,4269,45,2.00,2.5,6.00,5.88,5.00,6.00
9,small,no,l,7.06,33.33,0.41,2.00,0.00,0.00,1.48,5.67,17,11642,4.86,3880.67,18.67,21168.24,100,1221,6,0,0,4444,56,3.00,4.67,3.33,1.83,1.56,1.33
9,small,no,r,6.38,33.00,0.46,1.67,0.10,0.67,1.16,5.67,17,13120,4.42,4373.33,23.00,19133.88,99,1370,5,294,2,3474,69,3.00,5.33,4.67,4.08,5.00,5.00
9,small,yes,l,6.75,30.67,0.16,0.67,0.00,0.00,0.83,3.67,11,15234,3.91,5078.00,23.33,20261.98,92,475,2,0,0,2501,70,3.00,6.67,3.33,3.00,2.00,1.67
9,small,yes,r,6.56,31.33,0.29,1.33,0.03,0.33,1.89,8.00,24,11914,4.61,3971.33,19.67,19691.88,94,857,4,103,1,5681,59,3.00,5.33,4.00,4.00,3.22,4.00
9,large,no,l,6.86,32.33,0.32,1.67,0.34,1.67,1.40,5.33,16,13587,4.40,4529.00,22.33,20568.71,97,963,5,1027,5,4190,67,3.00,5.67,3.67,4.50,3.33,3.67
9,large,no,r,6.89,31.33,0.10,0.33,0.04,0.33,1.43,5.33,16,12785,4.19,4261.67,20.33,20660.22,94,306,1,119,1,4291,61,3.00,5.67,4.67,4.08,4.11,3.67
9,large,yes,l,6.77,29.00,0.52,1.00,0.24,1.00,2.07,9.00,27,11277,4.14,3759.00,17.00,20312.73,87,1549,3,716,3,6200,51,3.00,6,3.33,3.08,2.78,2.67
9,large,yes,r,7.40,34.00,0.43,2.00,0.21,1.50,0.98,4.50,9,9537,4.69,4768.50,21.00,14799.09,68,856,4,429,3,1960,42,2.00,5.5,4.50,5.25,4.50,5.00
10,small,no,l,7.16,31.00,0.05,0.33,0.00,0.00,3.40,14.67,44,10948,4.61,3649.33,15.67,21481.73,93,135,1,0,0,10188,47,3.00,5.33,6.33,4.75,6.00,6.00
10,small,no,r,7.80,32.67,0.00,0.00,0.18,0.67,3.52,15.33,46,10145,4.08,3381.67,14.00,23387.26,98,0,0,537,2,10567,42,3.00,5,5.67,4.92,5.89,5.33
10,small,yes,l,7.15,30.33,0.07,0.33,0.00,0.00,3.27,14.67,44,11134,3.73,3711.33,14.67,21455.06,91,221,1,0,0,9814,44,3.00,6,6.00,5.92,5.89,6.00
10,small,yes,r,7.81,31.33,0.08,0.33,0.12,0.67,2.75,10.67,32,14205,4.45,4735.00,19.00,23416.75,94,251,1,353,2,8242,57,3.00,6.67,7.00,6.58,6.78,6.33
10,large,no,l,7.96,37.00,0.00,0.00,0.20,1.33,3.76,17.00,51,10172,4.02,3390.67,15.67,23865.84,111,0,0,612,4,11293,47,3.00,7,6.67,6.58,6.78,6.67
10,large,no,r,8.39,36.67,0.05,0.33,0.29,1.33,3.56,15.67,47,13483,3.69,4494.33,19.33,25163.68,110,143,1,857,4,10681,58,3.00,6.33,6.00,6.00,6.00,6.00
10,large,yes,l,6.51,27.67,0.19,1.00,0.25,1.00,2.60,11.00,33,9670,3.53,3223.33,14.00,19523.96,83,570,3,764,3,7814,42,3.00,6.67,7.00,6.75,6.89,6.67
10,large,yes,r,8.19,30.00,0.15,0.50,0.25,1.00,2.87,9.50,19,9206,4.57,4603.00,16.50,16371.15,60,304,1,500,2,5743,33,2.00,6.5,7.00,6.88,7.00,7.00
